Collision with: 14  |  Collision without: 15 
Collision with: 12  |  Collision without: 27 
Collision with: 14  |  Collision without: 18 
Collision with: 23  |  Collision without: 33 
Collision with: 16  |  Collision without: 15 
Collision with: 9  |  Collision without: 23 
Collision with: 16  |  Collision without: 22 
Collision with: 17  |  Collision without: 19 
Collision with: 16  |  Collision without: 15 
Collision with: 13  |  Collision without: 25 
Collision with: 14  |  Collision without: 17 
Collision with: 36  |  Collision without: 27 
Collision with: 24  |  Collision without: 31 
Collision with: 20  |  Collision without: 29 
Collision with: 21  |  Collision without: 12 
Collision with: 18  |  Collision without: 30 
Collision with: 14  |  Collision without: 22 
Collision with: 11  |  Collision without: 21 
Collision with: 17  |  Collision without: 30 
Collision with: 30  |  Collision without: 30 
