Collision with: 38  |  Collision without: 16 
Collision with: 40  |  Collision without: 25 
Collision with: 45  |  Collision without: 23 
Collision with: 39  |  Collision without: 22 
Collision with: 68  |  Collision without: 30 
Collision with: 26  |  Collision without: 24 
Collision with: 76  |  Collision without: 19 
Collision with: 63  |  Collision without: 26 
Collision with: 39  |  Collision without: 21 
Collision with: 43  |  Collision without: 25 
Collision with: 49  |  Collision without: 18 
Collision with: 49  |  Collision without: 16 
Collision with: 55  |  Collision without: 25 
Collision with: 48  |  Collision without: 25 
Collision with: 43  |  Collision without: 21 
Collision with: 39  |  Collision without: 38 
Collision with: 30  |  Collision without: 16 
Collision with: 64  |  Collision without: 31 
Collision with: 35  |  Collision without: 28 
Collision with: 40  |  Collision without: 17 
