Collision with: 4  |  Collision without: 3 
Collision with: 2  |  Collision without: 7 
Collision with: 2  |  Collision without: 7 
Collision with: 4  |  Collision without: 7 
Collision with: 1  |  Collision without: 8 
Collision with: 0  |  Collision without: 8 
Collision with: 4  |  Collision without: 7 
Collision with: 1  |  Collision without: 3 
Collision with: 0  |  Collision without: 11 
Collision with: 4  |  Collision without: 7 
Collision with: 2  |  Collision without: 3 
Collision with: 6  |  Collision without: 8 
Collision with: 3  |  Collision without: 6 
Collision with: 3  |  Collision without: 6 
Collision with: 0  |  Collision without: 3 
Collision with: 3  |  Collision without: 8 
Collision with: 3  |  Collision without: 6 
Collision with: 5  |  Collision without: 11 
Collision with: 2  |  Collision without: 7 

Collision with: 4  |  Collision without: 3 
Collision with: 0  |  Collision without: 7 
Collision with: 2  |  Collision without: 7 
Collision with: 5  |  Collision without: 7 
Collision with: 3  |  Collision without: 8 
Collision with: 0  |  Collision without: 8 
Collision with: 4  |  Collision without: 7 
Collision with: 3  |  Collision without: 3 
Collision with: 1  |  Collision without: 11 
Collision with: 4  |  Collision without: 7 
Collision with: 3  |  Collision without: 3 
Collision with: 5  |  Collision without: 8 
Collision with: 3  |  Collision without: 6 
Collision with: 4  |  Collision without: 6 
Collision with: 0  |  Collision without: 3 
Collision with: 3  |  Collision without: 8 
Collision with: 3  |  Collision without: 6 
Collision with: 4  |  Collision without: 11 
Collision with: 2  |  Collision without: 7 
